,MRN Number,First Name,Last Name,DOB,Phone Number,Email,Pincode,State,Years of Exp.,Specialization,Education
0,FW2l6Z,Kasandra,Johnson,22-12-1972,4007504800,Kasandra.Johnson@email.com,864614,Uttaranchal,3,"General Physician, ","MBBS, MS Cardiac surgery, "
1,WsBk0P,Mary,Gurry,26-12-1979,5867976807,Mary.Gurry@email.com,52606,Jharkhand,22,"ENT, Orthopedic, ","MBBS, MD in Ophthalmology, "
2,JTBFYw,Craig,Renaud,25-09-1985,4676820099,Craig.Renaud@email.com,30265,West Bengal,5,"General Physician, ","MBBS, MD in Biochemistry, "
3,FkXN8D,Nicholas,Lawler,13-04-1987,6351799804,Nicholas.Lawler@email.com,199901,Goa,5,"Sexologist, ","MBBS, MD in Obstetrics & Gynecology, "
4,tlWly8,Marian,Taylor,22-02-1957,8390210309,Marian.Taylor@email.com,283657,Bihar,20,"ENT, ","MBBS, MD in Anatomy, "
5,wEaibr,Christopher,Thomas,15-09-1985,8157923750,Christopher.Thomas@email.com,154968,Karnataka,9,"Physiotherapist, ","MBBS, MD in Anesthesia, "
6,Vg9L5u,Iris,Ballard,27-10-1980,4456894923,Iris.Ballard@email.com,7096,Goa,18,"Physiotherapist, Psychiatrist, ","MBBS, MD in Dermatology, "
7,g9O05D,Jose,Havener,22-07-1988,8238317914,Jose.Havener@email.com,444745,Gujarat,7,"ENT, ","MBBS, MS Pediatric surgery, "
8,qrRzGO,Randy,Reardon,04-03-1971,7848445481,Randy.Reardon@email.com,127491,Karnataka,13,"Ophthalmologist, ","MBBS, MD in Biochemistry, "
9,vHspE5,David,Leutwiler,23-09-1971,5513144148,David.Leutwiler@email.com,523055,Madhya Pradesh,13,"Orthopedic, ","MBBS, MS Cardiothoracic surgery, "
10,352w1t,Myrtle,Jennings,05-08-1959,2818216300,Myrtle.Jennings@email.com,266167,Karnataka,25,"Psychiatrist, ","MBBS, MD in Geriatrics, "
11,4aXHvV,Marty,Johnson,09-11-1982,1405122660,Marty.Johnson@email.com,571460,Andhra Pradesh,6,"Urologist, Dentist, ","MBBS, MD in Forensic Medicine, "
12,fH5F08,Alexis,Cole,13-11-1981,2650745403,Alexis.Cole@email.com,492960,Assam,21,"Ophthalmologist, Paediatrician, ","MBBS, MS ENT, "
13,8wv8Hh,Nora,Mackin,09-08-1964,9115464989,Nora.Mackin@email.com,163191,Chhattisgarh,20,"Psychiatrist, ","MBBS, MS Gynecology, "
