,MRN,First Name,Last Name,DOB,Phone Number,Pincode,State,Years of Exp.,Specialization,Education,SimilarityScore,DUP
0,f1Bi53,David,Woods,12-02-1977,4828060763,929342,Manipur,15,"ENT, ","MBBS, MS Cardiothoracic surgery, ",0.8285714285714285,D
1,DBXUx6,Bob,Osborne,24-09-1969,1522006582,377425,Uttar Pradesh,17,"Dentist, Ophthalmologist, ","MBBS, MD in Aerospace Medicine, ",0.8053571428571429,D
2,WcRiAD,Seth,Richardson,22-03-1968,4548083824,863820,Arunachal Pradesh,9,"Orthopedic, ","MBBS, MD in Dermatology, ",0.8053571428571429,D
3,TlLusZ,Wm,Wieland,27-09-1973,6626105597,149035,Haryana,7,"Psychiatrist, Dermatologist, ","MBBS, MS Gynecology, ",0.8285714285714285,D
4,AyYRk5,Calvin,Cota,22-11-1973,4770508478,240706,Goa,14,"Psychiatrist, Ophthalmologist, ","MBBS, MS Pediatric surgery, ",0.8053571428571429,D
5,LOemWx,Ramona,Mcclung,22-03-1985,9737897728,116869,Meghalaya,5,"Orthopedic, Physiotherapist, ","MBBS, MD in Biochemistry, ",0.8053571428571429,D
6,638sabd,Chandru,Raghavan,01-10-2001,9741895695,560008,Karnataka,15,Comp. Sc,B Tech,0.3607191511840468,U
7,JOnJeN,Peter,Langston,23-02-1988,1804811996,884183,Arunachal Pradesh,7,"Gynaecologist, ","MBBS, MD in Anesthesia, ",0.8053571428571429,D
8,OFXqyN,William,Martinez,10-02-1973,6418769943,397334,Tamil Nadu,9,"Physiotherapist, ","MBBS, MD in Obstetrics & Gynecology, ",0.8285714285714285,D
9,UBuDtR,Paris,Coburn,30-11-1977,2173448660,30306,Mizoram,12,"Ophthalmologist, ","MBBS, MD in Forensic Medicine, ",0.8053571428571429,D
10,JQPxZO,Garnett,Wall,04-03-1982,8506655382,222341,Manipur,24,"ENT, ","MBBS, MS Obstetrics, ",0.8053571428571429,D
11,s5bdBz,Penny,Karnes,06-11-1978,8534385133,320496,Tamil Nadu,20,"Physiotherapist, ","MBBS, MS Gynecology, ",0.8053571428571429,D
12,fjofiM,Chris,Branch,02-09-1961,6660061038,856679,Gujarat,25,"Sexologist, ","MBBS, MD in Forensic Medicine, ",0.8053571428571429,D
13,dYWIgH,Tamara,Plotkin,20-11-1962,9401957907,340534,Mizoram,17,"Paediatrician, Sexologist, ","MBBS, MD in Ophthalmology, ",0.8285714285714285,D
14,ORx0Ba,Paul,Howard,30-03-1965,5644389323,774783,Haryana,9,"ENT, ","MBBS, MS Urology, ",0.8053571428571429,D
15,BbQIgu,James,Robertson,07-10-1978,6964570508,974629,Jammu and Kashmir,14,"Sexologist, ","MBBS, MS Ophthalmology, ",0.8285714285714285,D
16,2ZAA5A,Janice,Crandell,23-11-1983,6424939859,244434,Nagaland,7,"Dermatologist, ","MBBS, MS Urology, ",0.8285714285714285,D
17,fBFDc1,Sarah,Edelson,13-04-1989,2068534492,37919,Manipur,6,"Ophthalmologist, ","MBBS, MD in Geriatrics, ",0.8285714285714285,D
18,wSlLv4,David,Lanham,05-10-1964,4040787273,790464,Uttar Pradesh,17,"ENT, Dentist, ","MBBS, MD in ENT, ",0.8053571428571429,D
19,fL637V,Jacquelyn,Slocum,12-03-1972,5744933083,392729,Himachal Pradesh,10,"General Physician, Orthopedic, ","MBBS, MS Urology, ",0.8517857142857143,D
20,K2Vjxb,Ira,Javaux,19-05-1986,9125030822,979741,Punjab,17,"Paediatrician, Sexologist, ","MBBS, MS ENT, ",0.8517857142857143,D
21,CLdwQM,Donna,Horst,11-05-1979,4027945542,175878,Nagaland,19,"Urologist, Gynaecologist, ","MBBS, MD in Forensic Medicine, ",0.8285714285714285,D
